strick,ltp,iv,delta,theta,gamma,rho,vega
24250,108.75,14.79,0.372,-13.24,0.0009,-1.29,10.9131
24300,127.25,14.66,0.416,-13.29,0.0009,-1.44,11.2583
24350,148.65,14.55,0.463,-13.14,0.0009,-1.6,11.4617
24400,172.85,14.54,0.51,-12.87,0.001,-1.77,11.5077
24450,199.65,14.46,0.558,-12.29,0.0009,-1.94,11.3902
