strick,ltp,iv,delta,theta,gamma,rho,vega
24250,212.65,12.12,0.654,-16.89,0.0011,2.2,10.6467
24300,181.6,12.03,0.6,-17.04,0.0011,2.03,11.1473
24350,152.75,11.97,0.544,-16.95,0.0011,1.84,11.4423
24400,126.6,11.94,0.486,-16.61,0.0012,1.64,11.5045
24450,103.4,11.86,0.428,-15.93,0.0011,1.45,11.3247
